Percent of Students Chronically Absent,Percent HRA Eligible,Student Percent - Black and Hispanic,Percent Students with IEPs,log_dropout_rate,log_temp_housing,log_percent_overage,Economic Need Index,Percent English Language Learners,Average Grade 8 Proficiency,Percent College Ready based on SAT Math,Metric Value - College Persistence,Supportive Environment - Element Score,Graduation Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Took_ACT,Rigorous Instruction - Element Score,Percentage of Students Enrolled in Any Advanced Course,log_enrollment
0.678,0.737,0.864,0.237,0.045928931888399735,0.0962188577405429,0.05921185963184603,0.813,0.054,2.585,0.073,0.379,3.51,0.827,0.0070999999999999,0.488,0.0,3.57,0.359,6.056784013228625
0.413,0.606,0.76,0.034,0.047360571359837574,0.18315454309784654,0.25075871834718305,0.931,0.774,2.165,0.063,0.397,4.2,0.728,0.00619,0.281,0.0,4.52,0.712,5.883322388488279
0.065,0.351,0.061,0.013,0.0009995003330834232,0.02273948696948934,0.0009995003330834232,0.43,0.001,4.27,0.974,0.956,4.24,0.995,0.00943,0.993,1.0,4.03,0.823,8.111328003286733
0.286,0.684,0.684,0.165,0.015873349156290163,0.09893994785490366,0.025667746748577813,0.762,0.031,3.045,0.283,0.603,3.81,0.918,0.00794,0.617,0.0,3.6,0.509,6.523562306149512
0.411,0.787,0.763,0.168,0.005484930230569745,0.15529288440603525,0.04018178963283176,0.848,0.066,2.7750000000000004,0.127,0.525,3.92,0.951,0.00758,0.921,0.0,3.57,0.857,5.501258210544727
0.4,0.624,0.8069999999999999,0.275,0.00224747254047937,0.10255658832509215,0.023716526617316065,0.716,0.045,2.9450000000000003,0.265,0.6,3.99,0.954,0.00716,0.883,0.0,4.3,0.56,6.05443934626937
0.501,0.447,0.759,0.156,0.006975613736425138,0.04879016416943205,0.013902905168991434,0.552,0.018,3.115,0.315,0.7,3.34,0.977,0.0076099999999999,0.907,1.0,3.43,0.975,6.07993319509559
0.6,0.735,0.873,0.118,0.07417939817425147,0.14583044821153954,0.06672363204290813,0.811,0.02,2.685,0.075,0.476,3.5770989010989007,0.81,0.00732,0.6569582463465553,0.0,2.83,0.735,4.634728988229636
0.562,0.704,0.871,0.211,0.15700374880966467,0.14323416808590772,0.06672363204290813,0.807,0.061,2.79,0.106,0.385,3.33,0.8355,0.0068,0.596,0.0,2.31,0.887,5.5134287461649825
0.476,0.48,0.76,0.24,0.0,0.0769610411361284,0.026641930946421092,0.575,0.013,3.21,0.254,0.579,3.05,0.9825,0.00722,0.941,0.0,3.42,0.662,5.420534999272286
0.207,0.772,0.778,0.143,0.01636535408626423,0.08434114843375096,0.01291622526654623,0.835,0.057,2.96,0.109,0.659,4.06,0.939,0.00762,0.94,0.0,4.3,0.596,6.124683390894205
0.557,0.67,0.774,0.239,0.01980262729617973,0.10616019582839072,0.02955880224154443,0.735,0.058,2.785,0.167,0.645,3.79,0.896,0.00726,0.661,1.0,3.28,0.772,5.978885764901121
0.309,0.808,0.998,0.105,0.033918218203460644,0.18647956694261839,0.036331929247390204,0.922,0.382,2.575,0.248,0.717,4.2,0.9525,0.00704,0.991,0.0,4.84,0.515,6.129050210060545
