,DBN,School Name,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Economic Need Index,Percent HRA Eligible,Teacher Percent - White,Percentage of Students Enrolled in an AP Course,Percentage of Students Enrolled in an Advanced Math or Science Course,Percentage of Students Enrolled in a College Credited Course,Percentage of Students Enrolled in Any Advanced Course,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Percent of Students Chronically Absent,Teacher Attendance Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Metric Value - College Persistence,Rigorous Instruction - Element Score,Collaborative Teachers - Element Score,Supportive Environment - Element Score,Effective School Leadership - Element Score,Strong Family-Community Ties - Element Score,Trust - Element Score,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,zip code,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Percent Households on SNAP/Food Stamps,Graduation Rate,Student Percent - Black and Hispanic,Student Percent - Other,District,Borough,Percent College Ready based on SAT Math,Average Grade 8 Proficiency,CLEP_enrolled,IB_enrolled,NYCPS_college_prep_enrolled,Took_ACT,college_persistence_ranking,log_dropout_rate,log_temp_housing,log_percent_overage,log_enrollment,log_nearby_student_distance,log_household_income
251,16K498,brooklyn high school for law and technology,0.417,0.583,0.0,0.068,0.217,0.865,0.798,0.4,0.191,0.497,0.09,0.571,8.2,0.875,0.527,0.948,0.00654,0.573,0.358,3.4736402569593148,3.612055674518201,2.65,3.56,3.442935982339956,3.45,0.75,0.2,0.06,11221.0,0.074,0.408,0.348,0.098,0.252,0.857,0.216,0.9225,0.918,0.07,16,Brooklyn,0.037,2.595,0.0,0.0,0.0,0.0,Medium,0.06719124954032338,0.12044615307586726,0.04114194333117521,6.302618975744904,0.9932517730102836,11.259335592686217
252,16K688,the brooklyn academy of global finance,0.463,0.537,0.0,0.144,0.266,0.921,0.862,0.294,0.665,0.378,0.059,0.665,11.1,0.706,0.547,0.991,0.0058,0.216,0.167,2.71,3.34,3.01,3.06,3.63,4.07,0.83,1.0,0.32,11221.0,0.074,0.408,0.348,0.098,0.252,0.857,0.216,0.8625,0.8620000000000001,0.138,16,Brooklyn,0.027,2.49,0.0,0.0,0.0,0.0,Low,0.126632650933366,0.1527210870176639,0.08157998699242285,5.241747015059643,0.6931471805599453,11.259335592686217
253,16K765,nelson mandela high school,0.391,0.609,0.0,0.06,0.338,0.893,0.835,0.4305543710021322,0.594,0.331,0.18,0.662,1.2,0.882,0.627,0.96,0.00605,0.514,0.311,2.28,1.93,2.74,2.03,3.08,2.14,0.66,0.68,0.17,11213.0,0.076,0.319,0.251,0.125,0.314,0.835,0.265,0.8445,0.8719999999999999,0.054,16,Brooklyn,0.029,2.47,0.0,0.0,0.0,0.0,Low,0.035367143837291344,0.1527210870176639,0.07232066157962608,4.897839799950911,0.7884573603642703,10.900657565135907
254,17K122,pathways in technology early college high school (p-tech),0.262,0.738,0.0,0.017,0.172,0.746,0.67,0.303,0.0,0.504,0.251,0.636,12.2,0.909,0.418,0.947,0.00633,0.576,0.594,3.41,2.7,3.5770989010989007,1.83,3.442935982339956,3.45,0.23,0.42,0.11,11213.0,0.076,0.319,0.251,0.125,0.314,0.835,0.265,0.8505,0.936,0.058,17,Brooklyn,0.082,2.83,0.0,0.0,0.0,0.0,Medium,0.010939940038334263,0.10526051065749292,0.035367143837291344,6.274762021241939,0.9932517730102836,10.900657565135907
255,17K382,academy for college preparation and career exploration: a college board school,0.328,0.672,0.0,0.089,0.196,0.844,0.762,0.4305543710021322,0.174,0.426,0.064,0.494,6.6,0.769,0.265,0.974,0.00662,0.353,0.3,3.06,4.08,3.6,3.8,3.47,3.84,0.54,0.96,0.19,11226.0,0.061,0.349,0.325,0.067,0.424,0.848,0.25,0.873,0.94,0.052,17,Brooklyn,0.039,2.435,0.0,0.0,0.0,0.0,Low,0.1406311297397456,0.19967019512856768,0.058268908123975824,5.4638318050256105,0.6931471805599453,11.237804174563307
256,17K408,academy of hospitality and tourism,0.486,0.514,0.0,0.15,0.234,0.878,0.757,0.4305543710021322,0.155,0.331,0.088,0.483,7.6,0.5,0.415,0.965,0.00738,0.625,0.297,3.28,3.73,3.49,3.63,3.11,3.37,0.67,0.72,0.31,11226.0,0.061,0.349,0.325,0.067,0.424,0.848,0.25,0.866,0.8919999999999999,0.099,17,Brooklyn,0.0,2.53,0.0,0.0,0.0,0.0,Low,0.02810143011087478,0.17058630057553364,0.09984533496971612,5.872117789475415,0.9932517730102836,11.237804174563307
257,17K524,international high school at prospect heights,0.463,0.537,0.0,0.919,0.049,0.0,0.676,0.417,0.0,0.197,0.011,0.201,0.0,0.958,0.553,0.963,0.00517,0.784,0.337,4.4,4.5,4.04,4.22,3.91,3.97,0.73,0.76,0.24,11225.0,0.05,0.4639999999999999,0.237,0.096,0.3279999999999999,0.872,0.1669999999999999,0.7805,0.8029999999999999,0.13,17,Brooklyn,0.0,2.03,0.0,0.0,1.0,0.0,Low,0.10975086395911908,0.22314355131420976,0.25619140536041013,5.652489180268651,1.1314021114911006,11.32318042216003
258,17K528,the high school for global citizenship,0.3,0.7,0.0,0.082,0.232,0.756,0.668,0.313,0.7,0.264,0.073,0.718,13.1,0.563,0.293,0.959,0.00669,0.549,0.391,3.93,3.75,4.46,4.15,4.74,4.44,0.94,1.0,0.72,11225.0,0.05,0.4639999999999999,0.237,0.096,0.3279999999999999,0.872,0.1669999999999999,0.9105,0.909,0.086,17,Brooklyn,0.098,2.6050000000000004,0.0,0.0,0.0,0.0,Medium,0.0769610411361284,0.13190507087993858,0.04401688541677426,5.398162701517753,1.0647107369924282,11.32318042216003
259,17K531,"school for human rights, the",0.395,0.605,0.0,0.063,0.295,0.83,0.747,0.4305543710021322,0.111,0.1,0.0,0.211,4.2,0.625,0.545,0.95,0.00635,0.603,0.397,3.36,3.02,3.07,3.03,3.39,2.21,0.62,0.81,0.66,11203.0,0.052,0.256,0.2,0.105,0.502,0.879,0.181,0.904,0.948,0.048,17,Brooklyn,0.051,2.475,0.0,0.0,0.0,0.0,Medium,0.12000279239469631,0.1239859797809913,0.10526051065749292,5.25227342804663,0.6418538861723947,11.127365920036636
260,17K537,high school for youth and community development at erasmus,0.335,0.665,0.0,0.09,0.205,0.827,0.765,0.609,0.254,0.213,0.119,0.375,18.5,0.87,0.144,0.965,0.00631,0.297,0.305,3.99,4.41,4.29,3.75,3.38,3.5,0.77,1.0,0.34,11226.0,0.061,0.349,0.325,0.067,0.424,0.848,0.25,0.8925000000000001,0.881,0.109,17,Brooklyn,0.042,2.51,0.0,0.0,0.0,0.0,Low,0.06905953593149455,0.13714983814723364,0.0620353909194527,6.152732694704104,0.9932517730102836,11.237804174563307
261,17K539,high school for service & learning at erasmus,0.352,0.648,0.0,0.181,0.189,0.841,0.722,0.412,0.172,0.33,0.242,0.542,4.1,0.882,0.464,0.942,0.00605,0.852,0.275,3.58,4.01,3.41,3.66,3.97,3.74,0.69,0.94,0.14,11226.0,0.061,0.349,0.325,0.067,0.424,0.848,0.25,0.8795,0.889,0.097,17,Brooklyn,0.033,2.48,0.0,0.0,0.0,0.0,Low,0.14971227322832675,0.13190507087993858,0.10885440491208206,5.429345628954441,0.7884573603642703,11.237804174563307
262,17K543,"science, technology and research early college high school at erasmus",0.466,0.534,0.0,0.013,0.15,0.671,0.588,0.39,0.695,0.266,0.475,0.926,0.2,0.805,0.122,0.976,0.0076099999999999,0.888,0.694,4.72,4.37,4.12,4.45,3.23,3.58,0.76,0.72,0.16,11226.0,0.061,0.349,0.325,0.067,0.424,0.848,0.25,1.0,0.896,0.099,17,Brooklyn,0.296,3.295,0.0,0.0,0.0,0.0,High,0.005484930230569745,0.05921185963184603,0.006975613736425138,6.131226489483141,0.9932517730102836,11.237804174563307
263,17K546,high school for public service: heroes of tomorrow,0.622,0.378,0.0,0.02,0.167,0.758,0.687,0.484,0.284,0.318,0.0,0.478,10.7,0.903,0.426,0.951,0.00642,0.408,0.574,3.31,2.95,3.47,3.55,3.64,3.46,0.9,0.97,0.66,11203.0,0.052,0.256,0.2,0.105,0.502,0.879,0.181,0.9485,0.911,0.0839999999999999,17,Brooklyn,0.067,2.865,0.0,0.0,0.0,0.0,Medium,0.007968169649176881,0.12133228516752496,0.026641930946421092,6.111467339502678,0.8754687373538999,11.127365920036636
264,17K547,brooklyn academy of science and the environment,0.375,0.625,0.0,0.092,0.207,0.783,0.705,0.368,0.268,0.199,0.004,0.391,6.2,0.79,0.448,0.97,0.0069099999999999,0.395,0.359,3.04,3.79,3.16,3.68,3.46,3.55,0.64,0.76,0.58,11225.0,0.05,0.4639999999999999,0.237,0.096,0.3279999999999999,0.872,0.1669999999999999,0.8965000000000001,0.855,0.142,17,Brooklyn,0.145,2.8150000000000004,0.0,0.0,0.0,0.0,Medium,0.1146670749781259,0.12575120530556025,0.04879016416943205,5.568344503761097,1.0986122886681098,11.32318042216003
265,17K548,brooklyn school for music & theatre,0.716,0.284,0.0,0.028,0.225,0.856,0.798,0.526,0.427,0.427,0.0,0.674,16.2,0.842,0.439,0.956,0.0065099999999999,0.7,0.313,2.86,3.06,3.6,3.15,1.63,2.5,0.94,0.89,0.63,11225.0,0.05,0.4639999999999999,0.237,0.096,0.3279999999999999,0.872,0.1669999999999999,0.8035,0.954,0.032,17,Brooklyn,0.033,2.62,0.0,0.0,0.0,0.0,Low,0.05306672093669223,0.1406311297397456,0.0620353909194527,5.389071729816501,1.1939224684724343,11.32318042216003
266,17K590,medgar evers college preparatory school,0.519,0.481,0.0,0.005,0.089,0.557,0.453,0.179,0.725,0.585,0.005,0.859,22.1,0.821,0.152,0.964,0.00718,0.944,0.752,3.17,2.77,3.26,3.5,3.16,1.76,0.68,0.31,0.38,11225.0,0.05,0.4639999999999999,0.237,0.096,0.3279999999999999,0.872,0.1669999999999999,0.985,0.939,0.058,17,Brooklyn,0.479,3.405,0.0,0.0,0.0,1.0,High,0.0074720148387010564,0.03825871211709027,0.005982071677547469,6.781057625936179,1.0647107369924282,11.32318042216003
267,17K600,clara barton high school,0.739,0.261,0.0,0.101,0.188,0.761,0.679,0.367,0.125,0.391,0.08,0.5,16.6,0.767,0.264,0.947,0.0065,0.82,0.406,2.62,3.01,3.05,3.04,3.25,2.16,0.67,0.73,0.2,11225.0,0.05,0.4639999999999999,0.237,0.096,0.3279999999999999,0.872,0.1669999999999999,0.84,0.944,0.049,17,Brooklyn,0.044,2.68,0.0,0.0,0.0,0.0,Medium,0.05259245011917063,0.10255658832509215,0.044973365642731196,7.083387847625295,1.1939224684724343,11.32318042216003
268,17K745,brooklyn institute for liberal arts,0.503,0.497,0.0,0.042,0.246,0.792,0.718,0.486,0.118,0.554,0.103,0.629,11.2,0.405,0.407,0.979,0.0075,0.847,0.463,3.78,3.06,3.54,3.58,3.41,2.59,0.89,0.84,0.76,11203.0,0.052,0.256,0.2,0.105,0.502,0.879,0.181,0.9035,0.962,0.035,17,Brooklyn,0.119,2.6100000000000003,0.0,0.0,0.0,1.0,Medium,0.03198304585305074,0.11689375147149943,0.02273948696948934,6.16541785423142,0.832909122935104,11.127365920036636
269,17K751,academy for health careers,0.729,0.271,0.0,0.057,0.162,0.849,0.79,0.4305543710021322,0.384,0.258,0.0,0.528,3.6,0.889,0.685,0.957,0.00603,0.424,0.345,2.17,2.74,2.34,2.22,1.38,1.11,0.93,1.0,0.51,11213.0,0.076,0.319,0.251,0.125,0.314,0.835,0.265,0.871,0.873,0.074,17,Brooklyn,0.051,2.605,0.0,0.0,0.0,0.0,Medium,0.06531946612064246,0.14583044821153954,0.055434706888100524,5.438079308923196,0.9555114450274365,10.900657565135907
270,18K563,it takes a village academy,0.38,0.62,0.0,0.137,0.22,0.762,0.674,0.4305543710021322,0.214,0.176,0.096,0.399,3.1,0.88,0.41,0.969,0.00609,0.591,0.43,3.85,3.29,3.41,1.29,2.62,2.0,0.58,0.59,0.11,11203.0,0.052,0.256,0.2,0.105,0.502,0.879,0.181,0.8925000000000001,0.911,0.086,18,Brooklyn,0.108,2.62,0.0,0.0,0.0,0.0,Medium,0.04353830201448341,0.1231021971339834,0.09166718852582388,5.749392985908253,0.832909122935104,11.127365920036636
271,18K566,brooklyn community high school for excellence and equity,0.257,0.743,0.0,0.109,0.224,0.718,0.656,0.471,0.295,0.131,0.0,0.366,1.1,0.765,0.514,0.959,0.00632,0.714,0.24,3.57,3.67,3.82,3.27,3.55,2.36,0.65,0.89,0.12,11236.0,0.066,0.284,0.258,0.078,0.451,0.89,0.175,0.8605,0.886,0.115,18,Brooklyn,0.095,2.43,0.0,0.0,0.0,0.0,Low,0.08365157249561078,0.10345870836822997,0.05354076692802976,5.214935757608986,0.8754687373538999,11.28835589737794
272,18K567,brooklyn theatre arts high school,0.641,0.359,0.0,0.057,0.271,0.828,0.762,0.412,0.248,0.252,0.0,0.357,11.1,0.882,0.665,0.96,0.00633,0.21,0.338,1.91,2.22,2.6,2.41,2.76,1.91,0.93,1.0,0.25,11236.0,0.066,0.284,0.258,0.078,0.451,0.89,0.175,0.819,0.938,0.048,18,Brooklyn,0.02,2.4450000000000003,0.0,0.0,0.0,0.0,Low,0.06905953593149455,0.14149956227369942,0.09531017980432495,5.351858133476067,1.0296194171811581,11.28835589737794
273,18K569,kurt hahn expeditionary learning school,0.367,0.633,0.0,0.127,0.348,0.813,0.741,0.333,0.076,0.487,0.152,0.513,2.2,0.889,0.587,0.925,0.00607,0.357,0.329,3.21,3.42,3.58,3.42,3.442935982339956,3.45,0.7,0.42,0.02,11203.0,0.052,0.256,0.2,0.105,0.502,0.879,0.181,0.7525,0.893,0.044,18,Brooklyn,0.0,2.275,0.0,0.0,0.0,0.0,Low,0.07742389696480363,0.1466943791508034,0.12486898204586927,5.0689042022202315,0.7884573603642703,11.127365920036636
274,18K576,victory collegiate high school,0.412,0.588,0.0,0.119,0.165,0.79,0.719,0.4305543710021322,0.158,0.165,0.0,0.262,2.2,1.0,0.552,0.948,0.0064599999999999,0.283,0.669,4.41,3.43,3.6,3.08,3.77,3.44,0.47,0.93,0.56,11236.0,0.066,0.284,0.258,0.078,0.451,0.89,0.175,0.9025,0.862,0.12,18,Brooklyn,0.038,2.56,0.0,0.0,0.0,0.0,High,0.050217716160617515,0.08801087732271339,0.08157998699242285,5.564520407322694,0.9162907318741551,11.28835589737794
275,18K617,high school for innovation in advertising and media,0.268,0.732,0.0,0.089,0.267,0.783,0.726,0.4305543710021322,0.388,0.189,0.149,0.445,15.2,0.643,0.505,0.933,0.00592,0.269,0.291,3.69,3.25,3.56,3.53,4.43,4.3,0.85,0.37,0.8,11236.0,0.066,0.284,0.258,0.078,0.451,0.89,0.175,0.881,0.865,0.1,18,Brooklyn,0.056,2.485,0.0,0.0,0.0,0.0,Low,0.02078253918252841,0.126632650933366,0.035367143837291344,5.641907070938113,0.6418538861723947,11.28835589737794
276,18K629,cultural academy for the arts and sciences,0.468,0.532,0.0,0.038,0.251,0.775,0.711,0.364,0.217,0.545,0.077,0.613,7.0,0.773,0.455,0.971,0.0066099999999999,0.821,0.355,2.48,3.07,3.31,3.22,3.79,3.24,0.56,0.91,0.31,11203.0,0.052,0.256,0.2,0.105,0.502,0.879,0.181,0.8795,0.966,0.035,18,Brooklyn,0.026,2.63,0.0,0.0,0.0,0.0,Medium,0.11911548089016212,0.11600367575630612,0.0695260626486103,5.4638318050256105,0.8754687373538999,11.127365920036636
277,18K633,high school for medical professions,0.631,0.369,0.0,0.104,0.115,0.76,0.674,0.467,0.181,0.229,0.0,0.341,10.0,0.967,0.484,0.949,0.0065,0.349,0.513,3.89,3.53,3.17,3.42,2.97,3.07,0.59,0.58,0.34,11236.0,0.066,0.284,0.258,0.078,0.451,0.89,0.175,0.9035,0.906,0.095,18,Brooklyn,0.085,2.71,0.0,0.0,0.0,0.0,Medium,0.058740495022600085,0.11511280710050446,0.03729578474369693,5.976350909297934,0.9555114450274365,11.28835589737794
278,18K637,academy for conservation and the environment,0.343,0.657,0.0,0.085,0.188,0.779,0.727,0.367,0.376,0.433,0.16,0.686,12.1,0.9,0.202,0.957,0.00692,0.818,0.394,4.01,4.35,4.16,4.48,4.64,4.18,0.91,1.0,0.57,11236.0,0.066,0.284,0.258,0.078,0.451,0.89,0.175,0.9625,0.827,0.159,18,Brooklyn,0.061,2.575,0.0,0.0,0.0,0.0,Medium,0.05685281159278279,0.1301506844650451,0.04305948946044701,5.963579343618447,0.7884573603642703,11.28835589737794
279,18K642,urban action academy,0.362,0.638,0.0,0.109,0.275,0.796,0.739,0.5,0.159,0.181,0.0,0.297,5.2,0.9,0.439,0.949,0.00686,0.337,0.208,3.69,3.79,3.67,3.79,3.75,2.93,0.67,0.7,0.46,11236.0,0.066,0.284,0.258,0.078,0.451,0.89,0.175,0.7545,0.935,0.0579999999999999,18,Brooklyn,0.0,2.265,0.0,0.0,0.0,0.0,Low,0.10481036435234511,0.12221763272424911,0.14755756435761466,4.934473933130692,0.6418538861723947,11.28835589737794
280,19K404,academy for young writers,0.567,0.433,0.0,0.028,0.248,0.854,0.807,0.255,0.309,0.402,0.113,0.65,1.3,0.843,0.653,0.955,0.0067,0.911,0.519,3.37,3.32,3.49,3.95,3.51,3.32,0.77,0.51,0.21,11208.0,0.088,0.154,0.5,0.081,0.3939999999999999,0.885,0.318,0.942,0.911,0.069,19,Brooklyn,0.063,2.505,0.0,0.0,0.0,0.0,Medium,0.023228126119207243,0.1292723357041391,0.035367143837291344,5.8971538676367405,0.7419373447293773,10.938432051980694
281,19K409,east new york family academy,0.513,0.487,0.0,0.038,0.224,0.842,0.779,0.113,0.56,0.347,0.0,0.673,1.2,0.755,0.474,0.969,0.00716,0.532,0.394,3.44,4.16,3.5770989010989007,4.3,3.68,3.73,0.27,0.74,0.19,11207.0,0.094,0.192,0.311,0.138,0.305,0.82,0.33,0.975,0.96,0.033,19,Brooklyn,0.089,2.7,0.0,0.0,0.0,0.0,Medium,0.03488440185350188,0.08892620919440149,0.02761516703297339,5.988961416889864,0.5877866649021191,10.869900893813494
282,19K422,spring creek community school,0.442,0.558,0.0,0.017,0.228,0.808,0.728,0.318,0.088,0.391,0.0,0.452,1.1,0.682,0.54,0.945,0.0066099999999999,0.428,0.274,3.54,3.27,3.06,3.5,3.39,2.52,0.6,0.77,0.08,11208.0,0.088,0.154,0.5,0.081,0.3939999999999999,0.885,0.318,0.864,0.925,0.034,19,Brooklyn,0.029,2.465,0.0,0.0,0.0,0.0,Low,0.07162274367296736,0.09712671073072283,0.026641930946421092,5.68697535633982,0.6931471805599453,10.938432051980694
283,19K502,fdny - captain vernon a. richard high school for fire and life safety,0.233,0.767,0.0,0.087,0.425,0.853,0.781,0.4305543710021322,0.215,0.178,0.0,0.365,16.1,0.783,0.375,0.964,0.00527,0.262,0.056,2.77,3.61,3.85,3.58,2.96,3.9,0.45,0.96,0.24,11207.0,0.094,0.192,0.311,0.138,0.305,0.82,0.33,0.831,0.895,0.0539999999999999,19,Brooklyn,0.016,2.245,0.0,0.0,0.0,1.0,Low,0.06485097231961626,0.15614868248993138,0.044973365642731196,5.393627546352362,0.8754687373538999,10.869900893813494
284,19K504,high school for civil rights,0.529,0.471,0.0,0.157,0.314,0.922,0.821,0.4305543710021322,0.171,0.164,0.093,0.364,4.2,0.938,0.597,0.955,0.00614,0.414,0.19,2.36,3.02,2.91,3.17,3.01,2.47,0.8,0.88,0.36,11207.0,0.094,0.192,0.311,0.138,0.305,0.82,0.33,0.7535000000000001,0.8919999999999999,0.035,19,Brooklyn,0.0,2.245,0.0,0.0,0.0,0.0,Low,0.175632568643158,0.211880359035499,0.14583044821153954,4.9487598903781675,0.6931471805599453,10.869900893813494
285,19K507,performing arts and technology high school,0.606,0.394,0.0,0.114,0.24,0.848,0.785,0.25,0.298,0.302,0.218,0.52,10.2,0.679,0.261,0.952,0.00655,0.679,0.646,3.64,4.21,4.22,4.03,4.01,3.94,0.92,0.72,0.17,11207.0,0.094,0.192,0.311,0.138,0.305,0.82,0.33,0.926,0.932,0.024,19,Brooklyn,0.09,2.585,0.0,0.0,0.0,0.0,Medium,0.04066198171888972,0.1484200051182732,0.06859279146561167,5.786897381366708,0.7419373447293773,10.869900893813494
286,19K510,world academy for total community health high school,0.591,0.409,0.0,0.123,0.275,0.885,0.833,0.4305543710021322,0.551,0.145,0.21,0.638,2.1,0.846,0.629,0.978,0.00628,0.34,0.089,2.12,2.65,3.25,3.28,3.19,3.11,0.75,0.71,0.61,11207.0,0.094,0.192,0.311,0.138,0.305,0.82,0.33,0.756,0.899,0.094,19,Brooklyn,0.0,2.305,0.0,0.0,0.0,0.0,Low,0.08984070399978955,0.19062035960864968,0.10975086395911929,4.934473933130692,0.6931471805599453,10.869900893813494
287,19K583,multicultural high school,0.393,0.607,0.0,0.951,0.023,0.0,0.53,0.4305543710021322,0.688,0.16,0.181,0.699,1.7,0.478,0.343,0.962,0.00291,0.816,0.278,3.56,4.03,3.91,3.45,3.94,2.8,0.94,1.0,0.5,11208.0,0.088,0.154,0.5,0.081,0.3939999999999999,0.885,0.318,0.909,0.954,0.0,19,Brooklyn,0.009,1.89,0.0,0.0,0.0,0.0,Low,0.08204071033620941,0.16805358499624976,0.10885440491208206,5.85793315448346,0.832909122935104,10.938432051980694
288,19K615,transit tech career and technical education high school,0.152,0.848,0.0,0.06,0.304,0.781,0.713,0.152,0.252,0.484,0.0,0.668,10.0,0.772,0.356,0.944,0.0072,0.899,0.22,2.98,3.45,3.27,3.45,3.5,2.81,0.55,0.7,0.15,11208.0,0.088,0.154,0.5,0.081,0.3939999999999999,0.885,0.318,0.874,0.773,0.163,19,Brooklyn,0.032,2.495,0.0,0.0,0.0,0.0,Low,0.06109509935981083,0.10165365372649982,0.044973365642731196,6.682108597449809,1.0647107369924282,10.938432051980694
289,19K618,academy of innovative technology,0.197,0.803,0.0,0.074,0.238,0.781,0.698,0.306,0.268,0.236,0.0,0.398,6.1,0.75,0.512,0.963,0.00684,0.569,0.517,3.0,2.94,3.53,3.8,3.6,3.78,0.79,0.83,0.3,11208.0,0.088,0.154,0.5,0.081,0.3939999999999999,0.885,0.318,0.933,0.877,0.118,19,Brooklyn,0.109,2.76,0.0,0.0,0.0,0.0,Medium,0.07045846364856137,0.11600367575630612,0.03825871211709027,6.0112671744041615,0.9162907318741551,10.938432051980694
290,19K639,brooklyn lab school,0.373,0.627,0.0,0.211,0.206,0.877,0.807,0.296,0.83,0.249,0.152,0.86,7.1,0.963,0.442,0.962,0.0055899999999999,0.526,0.444,3.59,3.36,3.72,3.7,3.7,3.7,0.73,1.0,0.26,11208.0,0.088,0.154,0.5,0.081,0.3939999999999999,0.885,0.318,0.988,0.825,0.168,19,Brooklyn,0.072,2.445,0.0,0.0,0.0,0.0,Medium,0.025667746748577813,0.11243542932978817,0.05638033343610769,5.978885764901121,0.8754687373538999,10.938432051980694
291,19K659,cypress hills collegiate preparatory school,0.49,0.51,0.0,0.213,0.189,0.843,0.725,0.379,0.613,0.223,0.074,0.806,0.2,0.759,0.484,0.96,0.0060799999999999,0.489,0.301,3.37,3.55,3.61,3.54,3.81,3.32,0.96,1.0,0.39,11208.0,0.088,0.154,0.5,0.081,0.3939999999999999,0.885,0.318,0.962,0.895,0.1,19,Brooklyn,0.12,2.58,0.0,1.0,0.0,0.0,Low,0.06156535565815473,0.11600367575630612,0.04305948946044701,6.013715156042801,0.6931471805599453,10.938432051980694
292,19K660,w. h. maxwell career and technical education high school,0.684,0.316,0.0,0.142,0.32,0.926,0.872,0.152,0.395,0.284,0.116,0.499,1.2,0.696,0.641,0.951,0.00615,0.547,0.207,2.48,3.62,2.94,3.36,3.442935982339956,3.45,0.66,0.42,0.14,11207.0,0.094,0.192,0.311,0.138,0.305,0.82,0.33,0.806,0.89,0.074,19,Brooklyn,0.009,2.205,0.0,0.0,0.0,0.0,Low,0.1406311297397456,0.1823215567939546,0.10705907229340776,6.030685260261263,0.7419373447293773,10.869900893813494
293,19K683,school for classics high school,0.529,0.471,0.0,0.364,0.239,0.93,0.849,0.273,0.221,0.357,0.099,0.438,5.0,0.818,0.437,0.905,0.00517,0.373,0.2,2.32,2.69,3.48,2.79,3.71,3.28,0.42,0.79,0.12,11208.0,0.088,0.154,0.5,0.081,0.3939999999999999,0.885,0.318,0.822,0.724,0.213,19,Brooklyn,0.039,2.15,0.0,0.0,0.0,0.0,Low,0.1301506844650449,0.1527210870176639,0.1527210870176639,5.60947179518496,0.47000362924573563,10.938432051980694
294,19K764,the urban assembly school for collaborative healthcare,0.661,0.339,0.0,0.128,0.146,0.785,0.714,0.538,0.205,0.536,0.0,0.625,0.1,0.731,0.496,0.952,0.00638,0.815,0.557,2.7,3.22,3.34,3.2,3.29,3.13,0.95,1.0,0.29,11208.0,0.088,0.154,0.5,0.081,0.3939999999999999,0.885,0.318,0.911,0.827,0.167,19,Brooklyn,0.138,2.725,0.0,0.0,0.0,0.0,Medium,0.11332868530700327,0.1231021971339834,0.04114194333117521,5.820082930352362,0.8754687373538999,10.938432051980694
295,19K953,the east new york arts and civics high school,0.516,0.484,0.0,0.145,0.302,0.917,0.881,0.4305543710021322,0.082,0.0,0.094,0.119,1.4,0.583,0.473,0.935,0.00622,0.278,0.286,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,2.77,0.66,0.82,0.23,11207.0,0.094,0.192,0.311,0.138,0.305,0.82,0.33,0.898,0.912,0.075,19,Brooklyn,0.056,2.22,0.0,0.0,0.0,0.0,Low,0.016857117066422806,0.16211884947643512,0.151862349309246,5.075173815233827,0.5306282510621704,10.869900893813494
296,20K445,new utrecht high school,0.442,0.558,0.0,0.182,0.178,0.774,0.692,0.587,0.306,0.488,0.114,0.637,2.1,0.874,0.36,0.962,0.0070799999999999,0.578,0.564,3.42,3.6,3.21,3.54,3.442935982339956,3.45,0.56,0.52,0.07,11214.0,0.1639999999999999,0.32,0.73,0.113,0.5489999999999999,0.863,0.258,0.7969999999999999,0.386,0.611,20,Brooklyn,0.283,2.955,0.0,0.0,0.0,1.0,Medium,0.10728366521967457,0.050693114315518165,0.03246719013750141,8.045267716607803,0.5877866649021191,11.004646595470813
297,20K485,high school of telecommunication arts and technology,0.396,0.604,0.0,0.097,0.205,0.758,0.696,0.557,0.317,0.508,0.156,0.773,9.6,0.763,0.154,0.946,0.0077,0.978,0.671,3.72,3.66,3.84,3.63,2.65,3.28,0.61,0.88,0.2,11220.0,0.226,0.249,0.8109999999999999,0.084,0.529,0.838,0.26,0.9485,0.513,0.465,20,Brooklyn,0.344,2.94,0.0,0.0,0.0,1.0,High,0.02273948696948934,0.04018178963283176,0.015873349156290163,7.149916836132109,0.832909122935104,11.047789967121354
298,20K490,fort hamilton high school,0.472,0.528,0.0,0.124,0.156,0.729,0.651,0.702,0.23,0.354,0.05,0.496,11.0,0.951,0.354,0.959,0.0079,0.716,0.578,3.91,3.6,3.71,4.09,2.35,3.35,0.82,0.87,0.47,11209.0,0.059,0.528,0.455,0.109,0.314,0.9,0.111,0.891,0.338,0.6559999999999999,20,Brooklyn,0.379,3.17,0.0,0.0,1.0,1.0,Medium,0.0848006016924651,0.05638033343610769,0.02273948696948934,8.283999304248525,0.832909122935104,11.391288763472755
