,DBN,School Name,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Economic Need Index,Percent HRA Eligible,Teacher Percent - White,Percentage of Students Enrolled in an AP Course,Percentage of Students Enrolled in an Advanced Math or Science Course,Percentage of Students Enrolled in a College Credited Course,Percentage of Students Enrolled in Any Advanced Course,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Percent of Students Chronically Absent,Teacher Attendance Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Metric Value - College Persistence,Rigorous Instruction - Element Score,Collaborative Teachers - Element Score,Supportive Environment - Element Score,Effective School Leadership - Element Score,Strong Family-Community Ties - Element Score,Trust - Element Score,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,zip code,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Percent Households on SNAP/Food Stamps,Graduation Rate,Student Percent - Black and Hispanic,Student Percent - Other,District,Borough,Percent College Ready based on SAT Math,Average Grade 8 Proficiency,CLEP_enrolled,IB_enrolled,NYCPS_college_prep_enrolled,Took_ACT,college_persistence_ranking,log_dropout_rate,log_temp_housing,log_percent_overage,log_enrollment,log_nearby_student_distance,log_household_income
26,02M407,institute for collaborative education,0.482,0.514,0.004,0.011,0.246,0.372,0.271,0.5,0.0,0.8,0.0,0.8,11.6,0.875,0.237,0.955,0.00834,0.439,0.74,4.44,4.74,4.16,4.65,3.96,4.29,0.7,0.61,0.37,10003.0,0.027,0.82,0.2189999999999999,0.067,0.193,0.94,0.036,0.9775,0.436,0.515,2,Manhattan,0.242,2.81,0.0,0.0,1.0,1.0,High,0.0,0.028587456851912472,0.017839918128331016,5.638354669333745,1.6094379124341003,11.93730391618969
27,02M408,professional performing arts high school,0.773,0.227,0.0,0.004,0.182,0.442,0.301,0.719,0.333,0.231,0.004,0.51,0.0,0.906,0.387,0.962,0.00804,1.0,0.656,3.47,3.6,3.63,3.55,3.24,3.01,0.4,0.91,0.21,10036.0,0.033,0.6709999999999999,0.362,0.149,0.309,0.862,0.1159999999999999,1.0,0.496,0.468,2,Manhattan,0.264,3.325,0.0,0.0,0.0,1.0,Medium,0.0,0.050693114315518165,0.010939940038334263,6.100318952020064,2.0412203288596382,11.535547643006508
28,02M411,baruch college campus high school,0.56,0.44,0.0,0.021,0.181,0.506,0.416,0.7,0.57,0.584,0.06,0.687,19.5,0.833,0.227,0.964,0.0088099999999999,0.917,0.874,3.6,3.98,4.14,3.38,3.05,3.57,0.74,0.85,0.24,10010.0,0.01,0.804,0.233,0.066,0.214,0.934,0.059,0.996,0.341,0.631,2,Manhattan,0.767,3.58,0.0,0.0,0.0,1.0,High,0.008959741371471801,0.054488185284069776,0.001998002662673058,6.1882641230825906,1.33500106673234,11.920315386103356
29,02M412,n.y.c. lab school for collaborative studies,0.442,0.558,0.0,0.006,0.262,0.428,0.357,0.745,0.528,0.47,0.0,0.777,17.1,0.894,0.244,0.946,0.00832,0.99,0.796,4.31,4.46,4.02,3.66,4.06,4.16,0.71,0.71,0.31,10011.0,0.019,0.789,0.198,0.099,0.203,0.944,0.05,0.987,0.212,0.737,2,Manhattan,0.779,3.565,0.0,0.0,0.0,1.0,High,0.0,0.02955880224154443,0.008959741371471801,6.137727054086234,1.3609765531356006,11.890916596077638
30,02M413,school of the future high school,0.456,0.544,0.0,0.018,0.234,0.432,0.361,0.706,0.338,0.651,0.0,0.739,16.1,0.843,0.215,0.988,0.00755,0.99,0.703,4.28,3.39,3.8,3.35,3.29,2.88,0.66,0.35,0.25,10010.0,0.01,0.804,0.233,0.066,0.214,0.934,0.059,0.99,0.327,0.5940000000000001,2,Manhattan,0.549,3.27,0.0,0.0,1.0,1.0,High,0.020292703267762394,0.03825871211709027,0.001998002662673058,6.091309882077698,1.0986122886681098,11.920315386103356
31,02M414,n.y.c. museum school,0.534,0.466,0.0,0.019,0.197,0.438,0.366,0.531,0.542,0.497,0.006,0.652,2.2,0.938,0.033,0.966,0.00847,0.801,0.705,3.82,3.3,3.94,3.56,3.2,3.66,0.8,0.76,0.28,10011.0,0.019,0.789,0.198,0.099,0.203,0.944,0.05,1.0,0.3419999999999999,0.611,2,Manhattan,0.663,3.36,0.0,0.0,0.0,1.0,High,0.0,0.03052920503482279,0.001998002662673058,6.182084906716632,1.6094379124341003,11.890916596077638
32,02M416,eleanor roosevelt high school,0.584,0.416,0.0,0.006,0.152,0.369,0.298,0.735,0.747,0.543,0.0,0.808,15.2,0.941,0.154,0.974,0.00907,1.0,0.872,4.33,3.72,4.22,3.81,3.68,3.91,0.84,0.86,0.58,10021.0,0.0069999999999999,0.7929999999999999,0.246,0.072,0.178,0.943,0.034,0.9965,0.266,0.693,2,Manhattan,0.867,3.765,0.0,0.0,0.0,1.0,High,0.007968169649176881,0.023716526617316065,0.001998002662673058,6.295266001439646,1.1314021114911006,11.914603410823814
33,02M418,millennium high school,0.546,0.454,0.0,0.017,0.156,0.49,0.412,0.698,0.344,0.483,0.017,0.665,11.2,0.884,0.081,0.96,0.00877,0.993,0.842,3.0,3.4,4.04,3.31,2.66,3.58,0.83,0.91,0.35,10004.0,0.004,0.945,0.228,0.023,0.204,0.994,0.0,0.9855,0.207,0.757,2,Manhattan,0.86,3.635,0.0,0.0,0.0,1.0,High,0.0,0.054488185284069776,0.005982071677547469,6.501289670540388,1.3609765531356006,12.356834733416362
34,02M419,landmark high school,0.553,0.447,0.0,0.079,0.28,0.84,0.784,0.594,0.261,0.523,0.073,0.611,4.1,0.719,0.655,0.947,0.00663,0.703,0.493,3.27,3.49,3.13,3.94,4.11,3.48,0.54,0.68,0.11,10011.0,0.019,0.789,0.198,0.099,0.203,0.944,0.05,0.8475,0.855,0.0819999999999999,2,Manhattan,0.011,2.475,0.0,0.0,1.0,0.0,Medium,0.16720791898390638,0.09531017980432495,0.0620353909194527,5.799092654460527,1.9878743481543453,11.890916596077638
35,02M420,high school for health professions and human services,0.723,0.277,0.0,0.049,0.158,0.791,0.717,0.541,0.388,0.472,0.265,0.699,14.1,0.857,0.286,0.958,0.00813,0.891,0.739,3.42,3.38,3.39,3.32,1.99,3.19,0.94,0.87,0.21,10003.0,0.027,0.82,0.2189999999999999,0.067,0.193,0.94,0.036,0.9595,0.6990000000000001,0.294,2,Manhattan,0.314,3.09,0.0,0.0,0.0,1.0,High,0.012175575930133544,0.0769610411361284,0.017839918128331016,7.371489295214277,1.916922612182061,11.93730391618969
