DBN,School Name,Enrollment,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Economic Need Index,Percent Overage / Undercredited,Percent in Temp Housing,Percent HRA Eligible,Teacher Percent - White,Nearby Student Distance (mi),Percentage of Students Enrolled in an AP Course,Percentage of Students Enrolled in an Advanced Math or Science Course,Percentage of Students Enrolled in a College Credited Course,Percentage of Students Enrolled in Any Advanced Course,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Percent of Students Chronically Absent,Teacher Attendance Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Metric Value - College Persistence,Rigorous Instruction - Element Score,Collaborative Teachers - Element Score,Supportive Environment - Element Score,Effective School Leadership - Element Score,Strong Family-Community Ties - Element Score,Trust - Element Score,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,zip code,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Median Household Income,Percent Households on SNAP/Food Stamps,dropout_rate,Graduation Rate,Student Percent - Black and Hispanic,Student Percent - Other,District,Borough,Percent College Ready based on SAT Math,Average Grade 8 Proficiency,CLEP_enrolled,IB_enrolled,NYCPS_college_prep_enrolled,Took_ACT
02M374,gramercy arts high school,508.0,0.689,0.309,0.002,0.026,0.171,0.739,0.033,0.122,0.659,0.514,6.6,0.419,0.366,0.0,0.64,4.2,0.622,0.531,0.968,73.9,0.99,0.568,3.04,3.03,3.09,2.98,3.1,2.95,66.0,77.0,13.0,10003.0,2.7,82.0,21.9,6.7,19.3,94.0,152863.0,3.6,2.1,0.9664999999999999,0.827,0.151,02,Manhattan,0.133,2.95,0.0,0.0,0.0,1.0
02M376,nyc ischool,452.0,0.58,0.42,0.0,0.024,0.248,0.528,0.004,0.044,0.454,0.568,5.3,0.274,0.732,0.066,0.785,1.2,0.811,0.263,0.954,85.7,0.709,0.802,4.41,4.54,4.31,4.43,3.83,4.52,90.0,97.0,56.0,10013.0,5.9,70.5,34.1,8.2,31.0,89.2,150675.0,12.2,0.8,0.9864999999999999,0.506,0.45799999999999996,02,Manhattan,0.509,3.44,0.0,0.0,0.0,1.0
02M392,manhattan business academy,381.0,0.467,0.533,0.0,0.089,0.231,0.88,0.05,0.134,0.829,0.563,6.9,0.094,0.244,0.068,0.365,14.2,0.813,0.509,0.961,74.5,0.393,0.447,4.88,4.83,4.1,4.48,3.51,4.25,73.0,100.0,14.0,10011.0,1.9,78.9,19.8,9.9,20.3,94.4,145934.0,5.0,6.85,0.9305000000000001,0.903,0.095,02,Manhattan,0.071,2.705,0.0,0.0,0.0,0.0
02M393,business of sports school,434.0,0.283,0.717,0.0,0.101,0.253,0.883,0.048,0.177,0.825,0.324,5.3,0.281,0.491,0.0,0.647,14.2,0.946,0.675,0.947,70.7,0.907,0.337,3.5,3.64,3.13,3.63,3.22,3.63,80.0,81.0,25.0,10019.0,1.6,76.8,33.5,13.1,33.1,90.6,113335.0,9.5,3.8000000000000003,0.8985000000000001,0.947,0.039,02,Manhattan,0.07,2.38,0.0,0.0,0.0,0.0
02M399,the high school for language and diplomacy,151.0,0.53,0.47,0.0,0.079,0.212,0.81,0.099,0.126,0.722,0.533,5.5,0.338,0.411,0.0,0.603,1.1,0.933,0.646,0.94,73.0,0.323,0.477,2.51,3.36,3.2,3.33,3.47,3.67,63.0,93.0,11.0,10003.0,2.7,82.0,21.9,6.7,19.3,94.0,152863.0,3.6,3.65,0.832,0.821,0.17200000000000001,02,Manhattan,0.092,2.755,0.0,0.0,0.0,0.0
02M400,high school for environmental studies,1075.0,0.527,0.47,0.003,0.049,0.17,0.725,0.02,0.084,0.659,0.542,5.9,0.35,0.419,0.08,0.617,2.2,0.861,0.439,0.959,78.6,0.713,0.583,3.73,3.71,3.3,4.43,3.25,3.35,68.0,61.0,16.0,10019.0,1.6,76.8,33.5,13.1,33.1,90.6,113335.0,9.5,0.9,0.9155,0.7,0.278,02,Manhattan,0.192,3.0250000000000004,1.0,0.0,0.0,1.0
02M407,institute for collaborative education,280.0,0.482,0.514,0.004,0.011,0.246,0.372,0.018,0.029,0.271,0.5,4.0,0.0,0.8,0.0,0.8,11.6,0.875,0.237,0.955,83.4,0.439,0.74,4.44,4.74,4.16,4.65,3.96,4.29,70.0,61.0,37.0,10003.0,2.7,82.0,21.9,6.7,19.3,94.0,152863.0,3.6,0.0,0.9775,0.436,0.515,02,Manhattan,0.242,2.81,0.0,0.0,1.0,1.0
02M408,professional performing arts high school,445.0,0.773,0.227,0.0,0.004,0.182,0.442,0.011,0.052,0.301,0.719,6.7,0.333,0.231,0.004,0.51,0.0,0.906,0.387,0.962,80.4,1.0,0.656,3.47,3.6,3.63,3.55,3.24,3.01,40.0,91.0,21.0,10036.0,3.3,67.1,36.2,14.9,30.9,86.2,102287.0,11.6,0.0,1.0,0.496,0.468,02,Manhattan,0.264,3.325,0.0,0.0,0.0,1.0
02M411,baruch college campus high school,486.0,0.56,0.44,0.0,0.021,0.181,0.506,0.002,0.056,0.416,0.7,2.8,0.57,0.584,0.06,0.687,19.5,0.833,0.227,0.964,88.1,0.917,0.874,3.6,3.98,4.14,3.38,3.05,3.57,74.0,85.0,24.0,10010.0,1.0,80.4,23.3,6.6,21.4,93.4,150288.0,5.9,0.9,0.996,0.341,0.631,02,Manhattan,0.767,3.58,0.0,0.0,0.0,1.0
02M412,n.y.c. lab school for collaborative studies,462.0,0.442,0.558,0.0,0.006,0.262,0.428,0.009,0.03,0.357,0.745,2.9,0.528,0.47,0.0,0.777,17.1,0.894,0.244,0.946,83.2,0.99,0.796,4.31,4.46,4.02,3.66,4.06,4.16,71.0,71.0,31.0,10011.0,1.9,78.9,19.8,9.9,20.3,94.4,145934.0,5.0,0.0,0.987,0.212,0.737,02,Manhattan,0.779,3.565,0.0,0.0,0.0,1.0
