,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Median Household Income,Percent Households on SNAP/Food Stamps,zip code tabulation area
216,1.1,22.2,4.6,13.5,1.2,86.7,71641,15.4,01235
217,0.4,57.5,9.8,5.8,14.0,96.8,113958,1.9,01236
218,1.5,45.2,7.3,9.2,7.5,83.6,86300,2.9,01237
219,1.0,44.7,7.4,15.1,5.9,93.7,77679,5.4,01238
220,1.5,51.2,7.0,13.1,7.5,88.0,82578,5.0,01240
221,2.4,28.1,0.0,22.7,0.0,100.0,-666666666,68.6,01242
222,0.0,46.0,0.0,5.2,0.0,80.6,79167,0.0,01243
223,0.0,26.4,3.8,10.8,10.1,81.1,56842,4.1,01244
224,11.9,55.4,7.8,16.5,2.7,94.9,111354,3.0,01245
225,4.3,26.1,7.1,18.0,5.3,85.3,53692,21.2,01247
226,0.0,40.4,1.9,9.7,2.6,87.5,102596,4.5,01253
227,0.4,61.9,4.1,10.9,3.7,93.4,91667,4.1,01254
228,4.9,29.0,4.2,14.3,1.5,82.8,73958,6.8,01255
229,5.6,20.2,1.7,7.8,1.5,89.8,54219,11.1,01256
230,0.0,39.4,6.8,14.5,7.5,89.5,78940,3.7,01257
231,0.0,50.6,1.1,10.1,2.7,90.1,117917,2.5,01258
232,0.0,47.6,5.2,7.9,7.9,89.1,120568,1.5,01259
233,0.0,0.0,0.0,0.0,55.0,100.0,-666666666,0.0,01260
234,0.5,52.2,5.3,16.9,10.1,86.7,75804,11.0,01262
235,1.1,58.4,4.0,11.6,0.0,78.6,78750,4.1,01264
236,0.6,68.6,7.9,15.7,6.8,95.6,85714,5.9,01266
237,0.5,67.4,11.4,10.9,8.6,93.7,101823,5.9,01267
238,0.0,40.8,1.8,10.3,2.3,93.5,100833,6.5,01270
239,2.8,37.0,8.3,22.5,5.2,88.5,53536,26.3,01301
240,1.0,49.9,1.8,15.3,4.5,85.2,80560,5.9,01330
241,2.8,20.3,7.0,18.3,3.5,90.6,66985,20.5,01331
242,0.7,33.1,2.2,10.6,3.2,92.1,79000,9.4,01337
243,0.0,40.0,7.7,44.6,7.7,89.6,56250,0.0,01338
244,2.5,35.5,2.6,12.8,3.0,87.2,69500,7.1,01339
245,2.3,36.9,3.7,15.6,2.1,80.1,74632,12.9,01340
